,state,TenGram22K,TenGram24K
16-Aug-24,Uttar-Pradesh,65550,70290
16-Aug-24,Tamil-Nadu,65650,70200
16-Aug-24,Assam,65700,70310
16-Aug-24,Andhra-Pradesh,65600,70390
,Bihar,65550,70380
16-Aug-24,Tripura,65500,70300
,Daman-and-Diu,65650,70290
,Kerala,65600,70380
,Chandigarh,65500,70350
,Meghalaya,65650,70320
10,West-Bengal,65550,70330
11,Nagaland,65600,70330
12,Goa,65650,70260
13,Chhattisgarh,65800,70280
14,Gujarat,65500,70280
15,Jharkhand,65800,70430
16,Haryana,65450,70350
17,Jammu-and-Kashmir,65600,70320
18,Odisha,65550,70340
19,Lakshadweep,65600,70350
20,Sikkim,65400,70390
21,Puducherry,65650,70290
22,Telangana,66000,70270
23,Maharashtra,65650,70310
24,Uttarakhand,65600,70420
25,Dadra-and-Nagar-Haveli,65650,70360
26,Arunachal-Pradesh,65550,70330
27,Delhi,65550,70390
28,Madhya-Pradesh,65900,70370
29,Rajasthan,65450,70390
30,Karnataka,65550,70240
31,Himachal-Pradesh,65750,70350
32,Kerala,65600,70380
33,Mizoram,65700,70330
34,Punjab,65500,70370
35,Manipur,65850,70250
